,ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District,Community Area,Year
1,12592454,JF113025,01/14/2022 03:55:00 PM,067XX S MORGAN ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,7,Englewood,2022
12,12667337,JF203985,04/10/2022 09:38:00 PM,011XX N CHERRY AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,WAREHOUSE,True,True,18,Near North Side,2022
23,13211226,JF308371,06/07/2022 07:00:00 AM,002XX S ASHLAND AVE,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,GOVERNMENT BUILDING / PROPERTY,False,False,12,Near West Side,2022
39,13212633,JG426702,11/26/2022 12:00:00 AM,052XX S KEDZIE AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,8,Gage Park,2022
52,12676226,JF182188,03/21/2022 12:00:00 AM,067XX S ROCKWELL ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,8,Chicago Lawn,2022
118,13223929,JG440216,12/16/2022 09:00:00 AM,075XX S LANGLEY AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,6,Greater Grand Crossing,2022
123,13224551,JG439472,06/15/2022 12:00:00 AM,100XX S VAN VLISSINGEN RD,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,4,South Deering,2022
137,13226684,JG443384,12/01/2022 12:00:00 PM,031XX W WALTON ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,12,Humboldt Park,2022
142,12720062,JF267847,06/04/2022 02:30:00 PM,093XX S ESCANABA AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,4,Calumet Heights,2022
202,13233961,JG451900,09/15/2022 12:15:00 PM,020XX N KEDZIE AVE,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,APARTMENT,False,False,14,Logan Square,2022
299,12726948,JF275722,06/10/2022 05:00:00 PM,033XX S Indiana Ave,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,False,False,2,Douglas,2022
419,12903699,JF487221,11/25/2022 11:45:00 AM,040XX W 115TH ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,22,Mount Greenwood,2022
469,12943489,JG103269,12/31/2022 12:03:00 AM,059XX W FULLERTON AVE,OTHER OFFENSE,LICENSE VIOLATION,COMMERCIAL / BUSINESS OFFICE,False,False,25,Belmont Cragin,2022
480,12945476,JG108105,07/01/2022 09:00:00 AM,016XX N KEYSTONE AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,25,Humboldt Park,2022
485,12946506,JG109306,10/10/2022 12:03:00 PM,043XX N BROADWAY,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,19,Uptown,2022
507,12951714,JG115486,12/01/2022 12:01:00 AM,044XX W DIVERSEY AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,STREET,False,True,25,Hermosa,2022
510,12953432,JG117411,05/01/2022 12:00:00 AM,013XX N BURLING ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,18,Near North Side,2022
525,12956390,JG120935,12/08/2022 09:00:00 AM,035XX S RHODES AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,2,Douglas,2022
527,12957442,JG122063,09/03/2022 08:00:00 AM,062XX N LA CROSSE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,16,Forest Glen,2022
529,12958136,JG122857,09/04/2022 10:20:00 AM,035XX S LAKE PARK AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,2,Oakland,2022
534,12960359,JG125567,12/31/2022 12:00:00 AM,064XX S KILPATRICK AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,8,Clearing,2022
541,12962134,JG127527,10/03/2022 12:01:00 AM,063XX S ELLIS AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,3,Woodlawn,2022
546,12962633,JG128314,12/08/2022 12:00:00 PM,054XX W WINDSOR AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,16,Portage Park,2022
553,12964643,JG130767,12/10/2022 11:32:00 AM,047XX N PULASKI RD,OTHER OFFENSE,HARASSMENT BY TELEPHONE,DEPARTMENT STORE,False,False,17,Albany Park,2022
575,12971247,JG138750,03/01/2022 12:00:00 AM,057XX N ASHLAND AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,20,Edgewater,2022
582,12973453,JG141306,12/31/2022 01:01:00 AM,015XX N AUSTIN BLVD,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,25,Austin,2022
584,12974319,JG142444,10/27/2022 06:00:00 PM,015XX S KEELER AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,10,North Lawndale,2022
609,12981965,JG151581,11/22/2022 12:00:00 PM,030XX N CLYBOURN AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,COMMERCIAL / BUSINESS OFFICE,False,False,19,North Center,2022
619,12985196,JG155434,01/01/2022 12:00:00 AM,032XX N NARRAGANSETT AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,16,Dunning,2022
635,12992711,JG164421,09/16/2022 09:00:00 AM,013XX N DAMEN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,SIDEWALK,False,True,14,West Town,2022
639,12993386,JG165306,07/23/2022 09:00:00 AM,019XX E 74TH ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,3,South Shore,2022
640,12993492,JG165490,12/11/2022 06:40:00 PM,045XX S MARSHFIELD AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,9,New City,2022
648,12998243,JG171115,11/23/2022 03:58:00 PM,020XX S ASHLAND AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,False,True,12,Lower West Side,2022
658,13002625,JG176396,11/26/2022 11:07:00 PM,032XX N Sheffield Ave,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),False,False,19,Lake View,2022
668,13007317,JG182038,12/24/2022 10:00:00 PM,017XX W THORNDALE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,20,Edgewater,2022
681,13017812,JG194712,10/23/2022 03:00:00 PM,022XX W MADISON ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,12,Near West Side,2022
683,13018420,JG189199,01/01/2022 12:00:00 AM,031XX W FILLMORE ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,11,North Lawndale,2022
690,13021492,JG199070,12/03/2022 08:08:00 PM,054XX W IOWA ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,15,Austin,2022
704,13028298,JG207065,04/01/2022 12:00:00 AM,053XX W CRYSTAL ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,25,Austin,2022
709,13031707,JG211192,10/24/2022 06:00:00 PM,028XX W 25TH ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,10,South Lawndale,2022
712,13032798,JG212361,11/15/2022 05:00:00 PM,008XX W WRIGHTWOOD AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,19,Lincoln Park,2022
728,13049924,JG232760,06/01/2022 01:00:00 AM,035XX S MICHIGAN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2,Douglas,2022
730,13052148,JG235401,02/01/2022 12:00:00 AM,033XX W 38TH PL,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,9,Brighton Park,2022
734,13053243,JG236742,05/01/2022 12:00:00 AM,052XX W MELROSE ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,16,Portage Park,2022
735,13053347,JG235887,12/01/2022 12:00:00 AM,045XX S SPAULDING AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,8,Brighton Park,2022
737,13055397,JG239261,12/07/2022 10:06:00 AM,079XX S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,APARTMENT,False,False,6,Chatham,2022
738,13055547,JG239388,07/01/2022 12:01:00 AM,031XX N HAMLIN AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,25,Avondale,2022
757,13084574,JG274340,12/05/2022 12:00:00 AM,019XX S DESPLAINES ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,12,Lower West Side,2022
760,13093949,JG285455,12/27/2022 11:23:00 PM,063XX S KEDZIE AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,8,Chicago Lawn,2022
769,13104819,JG297530,12/10/2022 05:00:00 PM,025XX S CENTRAL PARK AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),False,False,10,South Lawndale,2022
787,13171233,JG371758,04/10/2022 10:00:00 AM,049XX N ST LOUIS AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE - YARD (FRONT / BACK),False,True,17,Albany Park,2022
1528,12591176,JF111371,01/12/2022 10:56:00 AM,002XX S CALIFORNIA AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,11,East Garfield Park,2022
